"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"UBR5",1.92475431809258e-07,0.264736823793469,0.47,0.354,0.0065468593375601,"MP1","UBR5"
"SP3",1.96998611318203e-07,0.228350537634806,0.401,0.286,0.00670071076537735,"MP1","SP3"
"OGFR",1.98085602694685e-07,0.853713163023288,0.138,0.077,0.00673768369005703,"MP1","OGFR"
"ATF6B",1.98488686327438e-07,0.436082701359728,0.145,0.082,0.00675139417674149,"MP1","ATF6B"
"ARHGEF11",1.99077586543633e-07,0.574940511042031,0.21,0.134,0.00677142502869512,"MP1","ARHGEF11"
"CYB561D2",2.00102281177925e-07,0.538259298549626,0.077,0.034,0.00680627899198594,"MP1","CYB561D2"
"ELMOD3",2.01702948433807e-07,0.623510178915448,0.161,0.095,0.0068607240880275,"MP1","ELMOD3"
"TCAIM",2.02417951875866e-07,0.430466044002678,0.198,0.124,0.0068850442151057,"MP1","TCAIM"
"GRIPAP1",2.02914756714613e-07,0.643956499585092,0.145,0.083,0.00690194253489084,"MP1","GRIPAP1"
"UBP1",2.03891788220526e-07,0.432613914288359,0.194,0.119,0.00693517528453299,"MP1","UBP1"
"NDUFV3",2.04160842807314e-07,0.455358435032169,0.179,0.107,0.00694432690724799,"MP1","NDUFV3"
"SCNM1",2.07998635320479e-07,1.19245342313242,0.081,0.037,0.00707486558179076,"MP1","SCNM1"
"ADD3",2.11748935091626e-07,0.211150842755372,0.287,0.188,0.00720242827820657,"MP1","ADD3"
"MVP",2.11843435702475e-07,0.344527434515456,0.153,0.087,0.00720564262198397,"MP1","MVP"
"CAPNS1",2.12543582596218e-07,0.628978199132309,0.1,0.05,0.00722945741842776,"MP1","CAPNS1"
"JPT1",2.19559945459762e-07,0.738447575088935,0.071,0.03,0.00746811198486834,"MP1","JPT1"
"VNN2",2.2394964045042e-07,0.926572369514944,0.084,0.039,0.0076174230702806,"MP1","VNN2"
"DYNC1LI2",2.25060701446472e-07,0.471182978887976,0.199,0.125,0.0076552146990003,"MP1","DYNC1LI2"
"CIAO2A",2.26672814782897e-07,0.775578654566424,0.098,0.049,0.00771004912202546,"MP1","CIAO2A"
"SLC31A2",2.29140830026838e-07,0.74117419880886,0.144,0.082,0.00779399619253285,"MP1","SLC31A2"
"ITGA5",2.31338964531621e-07,0.895626325157321,0.099,0.05,0.00786876353957857,"MP1","ITGA5"
"MANBA",2.31750362808316e-07,0.216713018641117,0.562,0.42,0.00788275684056207,"MP1","MANBA"
"GDI2",2.33685800757199e-07,0.783323479483417,0.265,0.178,0.00794858882695538,"MP1","GDI2"
"TMEM106A",2.35082766112497e-07,0.504184813565488,0.193,0.12,0.00799610520655047,"MP1","TMEM106A"
"KLF13",2.38602351226349e-07,0.206202793762665,0.212,0.133,0.00811582037461303,"MP1","KLF13"
"SLC31A1",2.41320180865654e-07,0.817668330003078,0.113,0.06,0.00820826463196436,"MP1","SLC31A1"
"OTULINL",2.42293297112835e-07,0.530870425451093,0.27,0.184,0.00824136420799597,"MP1","OTULINL"
"GPRIN3",2.42368375257093e-07,0.203439590585512,0.364,0.258,0.00824391791599477,"MP1","GPRIN3"
"ERLIN1",2.46276987819064e-07,0.965297406083495,0.087,0.042,0.00837686546367765,"MP1","ERLIN1"
"ATG4C",2.49477425371671e-07,0.320421259848642,0.248,0.161,0.00848572514659202,"MP1","ATG4C"
"MKRN1",2.50439800741683e-07,0.59173772745374,0.175,0.106,0.00851845938242759,"MP1","MKRN1"
"SLC49A4",2.53691215986584e-07,0.386444126311937,0.294,0.202,0.00862905302056767,"MP1","SLC49A4"
"PRRC2A",2.58250408672428e-07,0.447510774030672,0.113,0.059,0.00878412940058397,"MP1","PRRC2A"
"RPS12",2.58320997262024e-07,0.297765753361665,0.233,0.148,0.00878653040087047,"MP1","RPS12"
"RAI1",2.5904237971352e-07,0.681610345916237,0.117,0.062,0.00881106750357565,"MP1","RAI1"
"DR1",2.64486021638202e-07,0.484764197957453,0.125,0.067,0.00899622754000181,"MP1","DR1"
"CMTM1",2.69688491850579e-07,0.851746238020772,0.084,0.039,0.00917318436180558,"MP1","CMTM1"
"ATP8B4",2.70527249295233e-07,0.283354769879195,0.604,0.475,0.00920171385752807,"MP1","ATP8B4"
"SNHG25",2.70632467497499e-07,0.742492903617602,0.166,0.1,0.00920529274945993,"MP1","SNHG25"
"MTMR14",2.71528726518513e-07,0.376079293706788,0.238,0.155,0.00923577810380069,"MP1","MTMR14"
"MTPN",2.75448555477388e-07,0.377630179538582,0.186,0.113,0.00936910716600788,"MP1","MTPN"
"FYB1",2.78904773962555e-07,0.216031202436024,0.618,0.489,0.00948666698156234,"MP1","FYB1"
"WDR43",2.90546723115667e-07,0.369604385529577,0.222,0.143,0.00988265624005631,"MP1","WDR43"
"KMT5B",2.93366030251424e-07,0.347451615538688,0.267,0.178,0.00997855215297192,"MP1","KMT5B"
