"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AGPAT4",4.63154257978126e-12,0.51113471874936,0.244,0.17,1.5753728930868e-07,"EC3","AGPAT4"
"CELF2-AS2",4.70892017497209e-12,0.940222882809586,0.069,0.033,1.60169210831501e-07,"EC3","CELF2-AS2"
"BMERB1",5.53025387071133e-12,0.854487554009771,0.135,0.083,1.88106055158375e-07,"EC3","BMERB1"
"COL4A21",5.74585799320781e-12,0.418366207027882,0.57,0.473,1.9543961378097e-07,"EC3","COL4A2"
"ABI3",7.00831843655973e-12,0.839517991583956,0.067,0.032,2.38380943301143e-07,"EC3","ABI3"
"PPP2R5A1",7.40530505646715e-12,0.272508400319659,0.393,0.298,2.51884046190674e-07,"EC3","PPP2R5A"
"SEH1L",7.48615328685914e-12,0.961686192358553,0.108,0.062,2.54634017899227e-07,"EC3","SEH1L"
"SPC251",7.58408580675777e-12,0.420042708867425,0.321,0.237,2.57965094631059e-07,"EC3","SPC25"
"SLC30A7",7.95225391501343e-12,0.439898695287065,0.284,0.207,2.70487964665267e-07,"EC3","SLC30A7"
"PKD2",8.08041916484224e-12,0.487355122788934,0.271,0.195,2.74847377472944e-07,"EC3","PKD2"
"CDC25B",8.1068042165563e-12,0.622389519833156,0.088,0.045,2.75744838621946e-07,"EC3","CDC25B"
"OGT",9.27457923465844e-12,0.47063299740173,0.321,0.242,3.15465538087672e-07,"EC3","OGT"
"LRRC6",9.45872071733509e-12,1.09151476643293,0.057,0.025,3.21728926479436e-07,"EC3","LRRC6"
"SEPTIN8",9.55782498662718e-12,1.20811846373313,0.06,0.027,3.25099859095137e-07,"EC3","SEPTIN8"
"ALPK3",1.02316537313234e-11,0.708183890860237,0.134,0.081,3.48019470017235e-07,"EC3","ALPK3"
"C2CD5",1.0248999957727e-11,0.440846546314418,0.261,0.187,3.48609484562125e-07,"EC3","C2CD5"
"PDE7B",1.04189761844197e-11,0.247435321685161,0.555,0.456,3.54391055936851e-07,"EC3","PDE7B"
"CBFB",1.06488742936817e-11,0.546030656259084,0.293,0.217,3.62210810225289e-07,"EC3","CBFB"
"ATP8B11",1.09863351572296e-11,0.425730510911746,0.433,0.345,3.73689204038008e-07,"EC3","ATP8B1"
